319,28
353,91
360,88

319,28
360,88
367,84

319,28
367,84
374,84

374,84
376,62
385,80

385,80
404,63
399,85

308,190
302,172
292,186

292,186
287,180
300,171

300,171
292,164
288,179

288,179
285,158
291,162

291,162
295,148
286,157

295,148
292,160
305,156

305,156
302,168
318,186

318,186
320,176
308,158

308,158
295,147
335,148

335,148
350,173
308,158

350,173
308,158
320,179

335,148
295,148
321,126

321,126
332,168
344,112

344,112
321,126
363,120

363,120
371,114
366,107

366,107
363,120
348,114

348,114
328,123
362,169

328,123
384,114
334,106

334,106
355,91
381,103

381,103
359,90
367,83

367,83
385,81
384,98

384,98
390,83
399,89

399,89
408,108
387,103

393,122
368,120
368,120

360,144
390,126
390,126

370,172
358,146
390,126

370,172
385,172
385,172

422,142
394,124
394,124

386,104
408,109
408,109

400,86
387,104
400,86

450,125
438,131
438,131

450,125
452,166
452,166

437,137
431,216
431,216

421,145
416,236
416,236

421,145
385,172
385,172

365,221
370,172
365,221

363,204
349,252
359,264

359,264
363,204
385,174

385,174
359,264
413,240

413,240
422,144
386,170

422,144
413,240
431,219

431,219
437,133
422,144

422,144
437,133
405,90

405,90
437,133
447,122

447,122
437,133
452,165

452,165
447,122
489,162

489,162
447,122
491,145

491,145
493,164
510,187

510,187
506,239
486,200

510,187
493,165
463,207

463,207
493,165
453,167

453,167
433,219
461,210

463,245
497,242
497,242

463,245
463,207
486,200

460,248
487,305
476,247

476,247
487,305
497,242

487,305
460,248
389,309

389,309
412,242
459,247

412,242
361,266
389,309

389,309
335,310
349,255

349,255
335,310
319,282

319,282
312,306
334,310

334,310
316,339
312,306

316,339
334,314
353,360

353,360
389,310
323,374

486,310
389,310
424,376

424,376
486,310
496,340

496,340
429,375
465,464

465,464
587,453
537,383

537,383
587,453
595,414

595,414
587,453
649,459

649,459
587,453
654,524

654,524
587,453
571,573

571,573
549,490
587,459

587,459
549,490
467,465

467,465
449,488
543,495

543,495
492,511
449,488

492,511
487,544
547,495

547,495
568,574
488,549

488,549
512,630
571,573

550,612
531,649
559,672

531,649
559,672
533,718

531,649
533,718
510,722

510,722
483,747
517,748

510,722
517,748
538,740

571,574
651,528
634,664

638,584
662,657
636,665

636,665
631,737
662,660

631,737
603,769
651,771

651,771
631,737
651,728

650,461
656,525
721,467

650,461
721,467
683,445

721,467
743,492
690,542

690,542
682,595
730,535

690,542
678,600
653,530

653,530
638,577
678,600

492,511
548,493
463,465

463,465
492,511
447,487

492,511
447,487
406,458

406,458
397,427
462,464

397,427
406,458
355,411

355,411
397,409
353,362

397,409
353,362
424,375

353,362
355,411
299,390

299,390
286,423
355,411

286,423
299,390
277,400

277,400
263,425
286,423

263,425
286,423
265,456

265,456
279,469
258,484

279,469
258,484
280,488

258,484
280,488
257,503

280,488
257,503
259,528

257,503
259,528
278,515

259,528
278,515
251,531

259,528
251,531
259,549

353,355
335,313
388,310

335,313
314,341
348,357

314,341
348,357
294,388

314,341
294,388
289,358

294,388
289,358
259,389

294,388
259,389
257,366

259,389
257,366
236,370

257,366
236,370
222,356

236,370
222,356
197,448

197,448
223,448
193,483

243,394
222,383
222,434

190,484
187,506
220,480

187,506
220,480
220,493

315,338
316,285
335,310

316,285
335,310
347,265

388,311
353,357
425,372

495,341
465,464
538,382

428,374
398,426
465,464

360,414
398,455
462,465

452,171
432,214
437,134

394,123
386,167
421,141

492,161
464,207
511,191

432,220
414,241
457,248

432,220
457,248
461,210

497,243
486,199
464,209

463,246
463,212
496,241

293,162
302,167
307,156

302,170
306,190
319,186

339,149
354,171
358,148

354,171
358,148
371,170

372,172
384,172
393,127

394,125
409,110
420,141

394,125
409,110
386,102

382,103
366,105
373,112

366,105
384,103
374,113

656,525
686,543
723,466

688,545
743,495
732,538

631,738
651,731
661,656

511,632
530,650
549,616

513,631
548,612
571,573

444,483
466,465
404,458
